group,name,calories,protein,carb,fiber,Ferro(mg),sodium
Cereais e derivados,"Arroz, integral, cozido","123,53","2,59","25,81","2,75","0,26","1,24"
Cereais e derivados,"Arroz, integral, cru","359,68","7,32","77,45","4,82","0,95","1,65"
Cereais e derivados,"Arroz, tipo 1, cozido","128,26","2,52","28,06","1,56","0,08","1,20"
Cereais e derivados,"Arroz, tipo 1, cru","357,79","7,16","78,76","1,64","0,68","1,02"
Cereais e derivados,"Arroz, tipo 2, cozido","130,12","2,57","28,19","1,07","0,05","1,96"
Cereais e derivados,"Arroz, tipo 2, cru","358,12","7,24","78,88","1,72","0,60","0,57"
Cereais e derivados,"Aveia, flocos, crua","393,82","13,92","66,64","9,13","4,45","4,63"
Cereais e derivados,"Biscoito, doce, maisena","442,82","8,07","75,23","2,10","1,76","352,03"
Cereais e derivados,"Biscoito, doce, recheado com chocolate","471,82","6,40","70,55","2,96","2,27","239,20"
Cereais e derivados,"Biscoito, doce, recheado com morango","471,17","5,72","71,01","1,53","1,48","229,82"
Cereais e derivados,"Biscoito, doce, wafer, recheado de chocolate","502,46","5,56","67,54","1,80","2,44","137,24"
Cereais e derivados,"Biscoito, doce, wafer, recheado de morango","513,45","4,52","67,35","0,82","1,09","119,90"
Cereais e derivados,"Biscoito, salgado, cream cracker","431,73","10,06","68,73","2,51","2,20","854,36"
Cereais e derivados,"Bolo, mistura para","418,63","6,16","84,71","1,70","1,21","462,88"
Cereais e derivados,"Bolo, pronto, aipim","323,85","4,42","47,86","0,69","0,49","111,01"
Cereais e derivados,"Bolo, pronto, chocolate","410,01","6,22","54,72","1,43","2,13","283,30"
Cereais e derivados,"Bolo, pronto, coco","333,44","5,67","52,28","1,06","0,85","190,34"
Cereais e derivados,"Bolo, pronto, milho","311,39","4,80","45,11","0,71","0,65","133,81"
Cereais e derivados,"Canjica, branca, crua","357,60","7,20","78,06","5,50","0,32","0,79"
Cereais e derivados,"Canjica, com leite integral","112,46","2,36","23,63","1,22","0,06","27,59"
Cereais e derivados,"Cereais, milho, flocos, com sal","369,60","7,29","80,84","5,29","0,52","271,74"
Cereais e derivados,"Cereais, milho, flocos, sem sal","363,34","6,88","80,45","1,84","1,69","30,97"
Cereais e derivados,"Cereais, mingau, milho, infantil","394,43","6,43","87,27","3,21","3,03","399,40"
Cereais e derivados,"Cereais, mistura para vitamina, trigo, cevada e aveia","381,13","8,90","81,62","4,98","12,64","1163,26"
Cereais e derivados,"Cereal matinal, milho","365,35","7,16","83,82","4,12","3,05","654,54"
Cereais e derivados,"Cereal matinal, milho, açúcar","376,56","4,74","88,84","2,11","3,90","405,31"
Cereais e derivados,"Creme de arroz, pó","386,00","7,03","83,87","1,07","0,63","1,03"
Cereais e derivados,"Creme de milho, pó","333,03","4,82","86,15","3,72","4,26","593,79"
Cereais e derivados,"Curau, milho verde","78,43","2,36","13,94","0,46","0,45","20,51"
Cereais e derivados,"Curau, milho verde, mistura para","402,29","2,22","79,82","2,52","0,86","222,93"
Cereais e derivados,"Farinha, de arroz, enriquecida","363,06","1,27","85,50","0,58","31,38","17,10"
Cereais e derivados,"Farinha, de centeio, integral","335,78","12,52","73,30","15,48","4,73","41,38"
Cereais e derivados,"Farinha, de milho, amarela","350,59","7,19","79,08","5,49","2,25","44,93"
Cereais e derivados,"Farinha, de rosca","370,58","11,38","75,79","4,82","6,73","332,50"
Cereais e derivados,"Farinha, de trigo","360,47","9,79","75,09","2,35","0,95","0,74"
Cereais e derivados,"Farinha, láctea, de cereais","414,85","11,88","77,77","1,94","8,72","125,07"
Cereais e derivados,"Lasanha, massa fresca, cozida","163,76","5,81","32,52","1,64","1,19","206,77"
Cereais e derivados,"Lasanha, massa fresca, crua","220,31","7,01","45,06","1,61","1,87","666,71"
Cereais e derivados,"Macarrão, instantâneo","435,86","8,79","62,43","5,61","0,80","1515,53"
Cereais e derivados,"Macarrão, trigo, cru","371,12","10,00","77,94","2,93","0,88","7,17"
Cereais e derivados,"Macarrão, trigo, cru, com ovos","370,57","10,32","76,62","2,30","0,92","14,74"
Cereais e derivados,"Milho, amido, cru","361,37","0,60","87,15","0,74","0,13","8,08"
